en,fr,it,nl,ja,da,name,identifier,type,country,is_org_file,is_publisher
Support Trust for Africa Development (STAD),,,,,,Support Trust for Africa Development (STAD),NL-KVK-27251823,21,Netherlands,,true
Australia - Department of  Foreign Affairs and Trade,,,,,,Australia - Department of  Foreign Affairs and Trade,AU-5,10,Australia,true,true
Netherlands Enterprise Agency,,,,,,Netherlands Enterprise Agency,NL-KVK-27378529,10,Netherlands,,true
The HALO Trust,,,,,,The HALO Trust,GB-CHC-1001813,21,United Kingdom,true,true
Urgent Action Fund Latin America and the Caribbean,,,,,,Urgent Action Fund Latin America and the Caribbean,CO-CCB-00159397,23,Colombia,true,true
Concern Worldwide UK,,,,,,Concern Worldwide UK,GB-CHC-1092236,21,United Kingdom,true,true
Christian Engineers in Development,,,,,,Christian Engineers in Development,GB-CHC-293734,21,United Kingdom,true,true
UK - Department for International Development (DFID),,,,,,UK - Department for International Development (DFID),GB-GOV-1,10,United Kingdom,true,true
CIFAL Scotland,,,,,,CIFAL Scotland,GB-SC-037597,80,United Kingdom,true,true
Viva,,,,,,Viva,GB-CHC-1053389,21,United Kingdom,true,true
Urgent Action Fund-Africa,,,,,,Urgent Action Fund-Africa,KE-NCB-200201282375,23,Kenya,true,true
Theatre for a Change Malawi,,,,,,Theatre for a Change Malawi,MW-NBM-00139,22,Malawi,true,true
RAIN Foundation,,,,,,RAIN Foundation,NL-KVK-34200988,21,Netherlands,,true
Signal,,,,,,Signal,GB-CHC-1151615,21,United Kingdom,true,true
Emmanuel International UK,,,,,,Emmanuel International UK,GB-CHC-289036,21,United Kingdom,true,true
Womankind Worldwide,,,,,,Womankind Worldwide,GB-CHC-328206,21,United Kingdom,true,true
Motivation,,,,,,Motivation,GB-CHC-1079358,21,United Kingdom,true,true
MICAIA,,,,,,MICAIA,GB-CHC-1120413,21,United Kingdom,true,true
HiiL innovating Justice,,,,,,HiiL innovating Justice,NL-KVK-27290536,60,Netherlands,,true
International Finance Corporation,,,,,,International Finance Corporation,XM-DAC-903,40,United States,true,true
Amnesty International The Netherlands,,,,,,Amnesty International The Netherlands,NL-KVK-40530953,21,Netherlands,true,true
Terre des Hommes Netherlands,,,,,,Terre des Hommes Netherlands,NL-KVK-41149287,21,Netherlands,,true
Free Press Unlimited,,,,,,Free Press Unlimited,NL-KVK-52957535,21,Netherlands,true,true
MVO Nederland,,,,,,MVO Nederland,NL-KVK-30195730,15,Netherlands,,true
"IDH, the Sustainable Trade Initiative",,,,,,"IDH, the Sustainable Trade Initiative",NL-KVK-53521129,21,Netherlands,true,true
Ministère de l'Economie et des Finances du Bénin,Ministère de l'Economie et des Finances du Benin,,,,,Ministère de l'Economie et des Finances du Benin,XM-DAC-236,10,Benin,true,true
InterAction,,,,,,InterAction,US-EIN-13-3287064,21,United States,,true
ICA:UK,,,,,,ICA:UK,GB-CHC-1090745,22,United Kingdom,true,true
Ecorys UK,,,,,,Ecorys UK,GB-COH-01650169,70,United Kingdom,true,true
AfriKids,,,,,,AfriKids,GB-CHC-1141028,21,United Kingdom,true,true
Mama Cash,,,,,,Mama Cash,NL-KVK-41202535,60,Netherlands,true,true
Windle Trust Kenya,,,,,,Windle Trust Kenya,KE-NCB-OP/218/051/915/65,22,Kenya,,true
IRC,,,,,,IRC,NL-KVK-41151952,21,Netherlands,,true
StreetInvest,,,,,,StreetInvest,GB-CHC-1127206,21,United Kingdom,true,true
IHE Delft Institute for Water Education,,,,,,IHE Delft Institute for Water Education,NL-KVK-41146484,80,Netherlands,,true
Simavi,,,,,,Simavi,NL-KVK-40594571,60,Netherlands,true,true
Hilfswerk Austria Zimbabwe,,,,,,Hilfswerk Austria Zimbabwe,ZW-ROD-000740,21,Zimbabwe,true,true
DanChurchAid,,,,,,DanChurchAid,DK-CVR-36980214,21,Denmark,true,true
CDC Group plc,,,,,,CDC Group plc,GB-COH-03877777,15,United Kingdom,,true
Twin,,,,,,Twin,GB-CHC-291824,21,United Kingdom,,true
Rutgers,,,,,,Rutgers,NL-KVK-41193594,21,Netherlands,true,true
TB Alert,,,,,,TB Alert,GB-CHC-1071886,21,United Kingdom,true,true
Association for Progressive Communication,,,,,,Association for Progressive Communication,US-EIN-943287156,21,United States,true,true
Helvetas Swiss Intercooperation,,,,,,Helvetas Swiss Intercooperation,CH-FDJP-CHE-105.834.763,21,Switzerland,,true
KPMG East Africa,,,,,,KPMG East Africa,TZ-BRLA-36057,70,Kenya,,true
Saferworld,,,,,,Saferworld,GB-CHC-1043843,21,United Kingdom,true,true
Oxfam GB,,,,,,Oxfam GB,GB-CHC-202918,21,United Kingdom,true,true
War on Want,,,,,,War on Want,GB-CHC-208724,21,United Kingdom,true,true
Mensen met een Missie,,,,,,Mensen met een Missie,NL-KVK-41149831,22,Netherlands,true,true
AFEW International,,,,,,AFEW International,NL-KVK-34148682,21,Netherlands,,true
Restless Development,,,,,,Restless Development,GB-CHC-1127488,21,United Kingdom,true,true
DNH Mali (Direction Nationale de l’Hydraulique du Mali),,,,,,DNH Mali (Direction Nationale de l’Hydraulique du Mali),ML-NIF-400100027H,10,Mali,,true
Tropenbos International (TBI),,,,,,Tropenbos International (TBI),NL-KVK-41155305,22,,true,true
Association for Women's Rights in Development (AWID),,,,,,Association for Women's Rights in Development (AWID),US-EIN-521291786,21,United States,true,true
Just Associates,,,,,,Just Associates,US-EIN-06-1597-668,21,United States,true,true
Sightsavers,,,,,,Sightsavers,GB-CHC-207544,21,United Kingdom,true,true
KwaAfrica,,,,,,KwaAfrica,GB-CHC-1054369,21,United Kingdom,true,true
Global Alliance for TB Drug Development,,,,,,Global Alliance for TB Drug Development,US-EIN-13-4128413,80,United States,,true
McKinsey & Company,,,,,,McKinsey & Company,GB-COH-FC012665,70,,,true
The International Children's Trust,,,,,,The International Children's Trust,GB-CHC-254781,21,United Kingdom,true,true
Self Help Africa,,,,,,Self Help Africa,IE-CHY-6663,21,Ireland,true,true
France - Ministry for Europe and Foreign Affairs,,,,,,France - Ministry for Europe and Foreign Affairs,FR-6,10,France,,true
War Child UK,,,,,,War Child UK,GB-CHC-1071659,21,United Kingdom,,true
Interact Worldwide,,,,,,Interact Worldwide,GB-CHC-1001698,21,United Kingdom,,true
Jeevika Trust,,,,,,Jeevika Trust,GB-CHC-291167,21,United Kingdom,,true
"Natural Resources Institute, University of Greenwich.",,,,,,"Natural Resources Institute, University of Greenwich.",GB-COH-00986729,80,United Kingdom,true,true
Acid Survivors Foundation,,,,,,Acid Survivors Foundation,PK-VSWA-511-2007,22,Pakistan,,true
Global Partnership for Education,,,,,,Global Partnership for Education,XM-DAC-47501,40,United States,,true
AWEPA,,,,,,AWEPA,NL-KVK-34106722,21,Netherlands,true,true
Network for Africa,,,,,,Network for Africa,GB-CHC-1120932,21,United Kingdom,true,true
European Commission - Development and Cooperation-EuropeAid,,,,,,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,"Europe, regional",true,true
Stichting Tosangana,,,,,,Stichting Tosangana,NL-KVK-27285408-6,22,Netherlands,,true
Voluntary Service Overseas (VSO),,,,,,Voluntary Service Overseas (VSO),GB-CHC-313757,21,United Kingdom,true,true
U.S. African Development Foundation,,,,,,U.S. African Development Foundation,US-13,10,,true,true
Peace Corps,,,,,,Peace Corps,US-10,10,,true,true
Department of Labor,,,,,,Department of Labor,US-17,10,,true,true
partos,,,Partos,,,Partos,NL-KVK-34214586,22,Netherlands,true,true
CDC Group PLC,,,,,,CDC Group PLC,GB-COH-038777,15,,true,true
Development Initiatives Poverty Research,,,,,,Development Initiatives Poverty Research,GB-COH-06368740,21,United Kingdom,true,true
Amref Health Africa in Kenya,,,,,,Amref Health Africa in Kenya,KE-NCB-93175,21,Kenya,true,true
United Work,,,,,,United Work,NL-KVK-67143555,22,Netherlands,true,true
Ireland - Department of Foreign Affairs and Trade,,,,,,Ireland - Department of Foreign Affairs and Trade,XM-DAC-21-1,10,Ireland,,true
Palladium International Ltd (UK),,,,,,Palladium International Ltd (UK),GB-COH-02394229,70,United Kingdom,true,true
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",,,,,,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,40,Switzerland,true,true
Norwegian Refugee Council,,,,,,Norwegian Refugee Council,NO-BRC-977538319,21,Norway,,true
Street Child,,,,,,Street Child,GB-CHC-1128536,21,United Kingdom,true,true
Cord,,,,,,Cord,GB-CHC-1070684,23,United Kingdom,true,true
Atos IT Services Ltd,,,,,,Atos IT Services Ltd,GB-COH-01245534,70,United Kingdom,true,true
Oxfam Novib,,,,,,Oxfam Novib,NL-KVK-27108436,21,Netherlands,true,true
Plan Nederland,,,,,,Plan Nederland,NL-KvK-41198890,21,Netherlands,true,true
act4africa,,,,,,act4africa,GB-COH-04276635,21,United Kingdom,true,true
Wageningen University & Research - Stichting Wageningen Research,,,,,,Wageningen University & Research - Stichting Wageningen Research,NL-KVK-09098104,80,Netherlands,true,true
Milieudefensie,,,,,,Milieudefensie,NL-KvK-40530467,22,Netherlands,true,true
ITPC,,,,,,ITPC,XI-IATI-BWCO20151011,21,,true,true
FMO,,,,,,FMO,NL-KVK-27078545,30,Netherlands,,true
MADE in Europe,,,,,,MADE in Europe,GB-COH-1134415,21,United Kingdom,,true
HelpAge International,,,,,,HelpAge International,GB-COH-1762840,21,United Kingdom,true,true
Southern African Catholic Bishops' Conference Aids Office,,,,,,Southern African Catholic Bishops' Conference Aids Office,ZA-NPO-061-870,23,South Africa,,true
WYG International,,,,,,WYG International,GB-COH-3195485,70,United Kingdom,true,true
International Rescue Committee UK,,,,,,International Rescue Committee UK,GB-CHC-1065972,21,United Kingdom,true,true
Giro555 (Stichting Samenwerkende Hulporganisaties),,,,,,Giro555 (Stichting Samenwerkende Hulporganisaties),NL-KVK-27302841,21,Netherlands,true,true
European Institute of Peace,,,,,,European Institute of Peace,BE-BCE_KBO- 0550758080,15,Belgium,,true
,Société Nationale des Eaux du Benin,,,,,Société Nationale des Eaux du Benin,BJ-IFU-32000700033415,15,,true,true
HealthNet TPO,,,HealthNet,,,HealthNet,NL-KVK-41211943,21,Netherlands,true,true
The National Association of Municipalities of Benin (ANCB),Association Nationale des Communes du Bénin,,,,,Association Nationale des Communes du Bénin,BJ-IFU-6201408024805,22,Benin,true,true
Women's Environment & Development Organization,,,,,,Women's Environment & Development Organization,US-EIN-52-1238773,21,United States,true,true
Relief International UK,,,,,,Relief International UK,GB-CHC-1098106,21,United Kingdom,true,true
Both ENDS,,,,,,Both ENDS,NL-KVK-41210098,22,Netherlands,true,true
Save the Children Netherlands,,,,,,Save the Children Netherlands,NL-KVK-41201463,21,Netherlands,,true
Protecting Families Against HIV/AIDS,,,,,,Protecting Families Against HIV/AIDS,UG-NGB-63360,22,Uganda,,true
ICS,,,,,,ICS,NL-KVK-41188664,21,Netherlands,,true
Amref Health Africa - UK,,,,,,Amref Health Africa - UK,GB-CHC-261488,21,United Kingdom,true,true
Women and Children First (UK),,,,,,Women and Children First (UK),GB-CHC-1085096,21,United Kingdom,true,true
World Association for Christian Communication (UK),,,,,,World Association for Christian Communication (UK),GB-COH-2082273,21,United Kingdom,,true
Plan Ireland Charitable Assistance Limited,,,,,,Plan Ireland Charitable Assistance Limited,IE-CHY-15037,21,Ireland,true,true
Excellent Development,,,,,,Excellent Development,GB-CHC-1094478,21,United Kingdom,true,true
APT Action on Poverty,,,,,,APT Action on Poverty,GB-CHC-290836,21,United Kingdom,true,true
TradeMark East Africa,,,,,,TradeMark East Africa,KE-RCO-CPR/2009/5689,23,Kenya,,true
CHOICE for Youth and Sexuality,,,,,,CHOICE for Youth and Sexuality,NL-KVK-32108345,21,Netherlands,true,true
Bees for Development Trust,,,,,,Bees for Development Trust,GB-CHC-1078803,21,United Kingdom,true,true
Oxford Policy Management,,,,,,Oxford Policy Management,GB-COH-3122495,70,United Kingdom,,true
All We Can (formerly Methodist Relief and Development Fund),,,,,,All We Can (formerly Methodist Relief and Development Fund),GB-CHC-291691,21,United Kingdom,true,true
European Bank for Reconstruction and Development,,,,,,European Bank for Reconstruction and Development,XI-IATI-EBRD,40,"Bilateral, unspecified",true,true
British Red Cross,,,,,,British Red Cross,GB-CHC-220949,21,United Kingdom,,true
CNV Internationaal,,,,,,CNV Internationaal,NL-KvK-54436222-27541,22,Netherlands,true,true
Tearfund,,,,,,Tearfund,GB-CHC-265464,21,United Kingdom,true,true
"Friends of the Earth England, Wales and Northern Ireland",,,,,,"Friends of the Earth England, Wales and Northern Ireland",GB-CHC-281681,22,United Kingdom,true,true
Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland,,,,,,Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland,NL-KVK-41207989,21,Netherlands,true,true
Rainforest Foundation UK,,,,,,Rainforest Foundation UK,GB-CHC-1138287,21,United Kingdom,,true
Friends of the Earth International,,,,,,Friends of the Earth International,NL-KVK-40535338,21,Netherlands,true,true
WNF Wereld Natuur Fonds,,,,,,WNF Wereld Natuur Fonds,NL-KVK-41177588,21,Netherlands,,true
ShelterBox,,,,,,ShelterBox,GB-CHC-1096479,21,United Kingdom,true,true
Stichting Onderzoek Multinationale Ondernemingen (SOMO),,,,,,Stichting Onderzoek Multinationale Ondernemingen (SOMO),NL-KVK-41223308,80,Netherlands,true,true
Royal Tropical Institute,,,,,,Royal Tropical Institute,NL-KVK-33185213,21,Netherlands,,true
Abaseen Foundation UK,,,,,,Abaseen Foundation UK,GB-CHC-1157009,21,United Kingdom,true,true
GlobalGiving.org,,,,,,GlobalGiving.org,US-EIN-300108263,21,United States,true,true
Young Innovations Pvt. Ltd,,,,,,Young Innovations Pvt. Ltd,NP-CRO-45995/063/064,80,Nepal,true,true
Zimbabwe Educational Trust,,,,,,Zimbabwe Educational Trust,GB-CHC-327519,21,United Kingdom,true,true
Living Earth Foundation,,,,,,Living Earth Foundation,GB-CHC-800672,21,United Kingdom,,true
Vision for a Nation Foundation,,,,,,Vision for a Nation Foundation,GB-CHC-1140123,21,United Kingdom,true,true
Project Harar,,,,,,Project Harar,GB-CHC-1094272,21,United Kingdom,true,true
ADD International,,,,,,ADD International,GB-COH-294860,21,United Kingdom,true,true
Local Development and Small Projects Support,,,,,,Local Development and Small Projects Support,TR-MOI-27-018-163,22,Turkey,,true
Mondiaal FNV,,,,,,Mondiaal FNV,NL-KvK-41177601,22,Netherlands,true,true
Conciliation Resources,,,,,,Conciliation Resources,GB-CHC-1055436,21,United Kingdom,,true
Oxfam India,,,,,,Oxfam India,IN-MCA-U74999DL2004NPL131340,22,India,,true
Hagar International UK,,,,,,Hagar International UK,GB-CHC-1143852,21,United Kingdom,true,true
UK - Welsh Government's Wales for Africa Programme,,,,,,UK - Welsh Government's Wales for Africa Programme,XM-DAC-12-22,10,United Kingdom,true,true
Hope and Homes for Children,,,,,,Hope and Homes for Children,GB-CHC-1089490,21,United Kingdom,true,true
Water Witness International,,,,,,Water Witness International,GB-COH-353570,21,United Kingdom,,true
Red Cross Red Crescent Climate Centre,,,,,,Red Cross Red Crescent Climate Centre,NL-KVK-27267681,21,Netherlands,,true
Enhanced Integrated Framework,,,,,,Enhanced Integrated Framework,XM-DAC-1409,40,Switzerland,true,true
Pump Aid,,,,,,Pump Aid,GB-CHC-1077889,21,United Kingdom,true,true
Pact,,,,,,Pact,US-EIN-13-2702768,21,United States,true,true
Y Care International,,,,,,Y Care International,GB-CHC-1109789,21,United Kingdom,true,true
Local and regional governments,,,,,,Local and regional governments,XM-DAC-69-30,,,true,false
Opportunity International UK,,,,,,Opportunity International UK,GB-COH-05322719,21,United Kingdom,,true
Vision Aid Overseas,,,,,,Vision Aid Overseas,GB-CHC-1081695,21,United Kingdom,true,true
War Child Holland,,,,,,War Child Holland,NL-KVK-41215393,21,Netherlands,,true
Christian Aid,,,,,,Christian Aid,GB-CHC-1105851,21,United Kingdom,true,true
Women for Women International (UK),,,,,,Women for Women International (UK),GB-CHC-1115109,21,United Kingdom,,true
UN Pooled Funds,,,,,,UN Pooled Funds,XI-IATI-UNPF,40,,,true
Hivos,,,,,,Hivos,NL-KVK-41198677,21,Netherlands,true,true
Theatre for a Change UK,,,,,,Theatre for a Change UK,GB-CHC-1104458,21,United Kingdom,true,true
Exeter Ethiopia Link,,,,,,Exeter Ethiopia Link,GB-CHC-1154085,21,United Kingdom,true,true
African Initiatives,,,,,,African Initiatives,GB-CHC-1064413,21,United Kingdom,,true
Build Africa,,,,,,Build Africa,GB-CHC-298316,21,United Kingdom,,true
Institute of Development Studies,,,,,,Institute of Development Studies,GB-COH-877338,80,United Kingdom,,true
Child-to-Child,,,,,,Child-to-Child,GB-CHC-1152010,21,United Kingdom,true,true
KPMG LLP,,,,,,KPMG LLP,GB-COH-OC301540,70,United Kingdom,true,true
Dóchas - Irish Association of Non Governmental Development Organisations,,,,,,Dóchas - Irish Association of Non Governmental Development Organisations,IE-CHY-6410,22,Ireland,,true
Alfalit,,,,,,Alfalit,MZ-MOJ-203D,22,Mozambique,,true
Transparency International Bangladesh,,,,,,Transparency International Bangladesh,BD-NAB-1301,22,Bangladesh,,true
OCHA Financial Tracking Service,,,,,,OCHA Financial Tracking Service,XM-OCHA-FTS,40,"Bilateral, unspecified",,true
Practical Action,,,,,,Practical Action,GB-COH-871954,21,United Kingdom,,true
APPRO-Europe,,,,,,APPRO-Europe,BE-GTCF-630789842,80,Belgium,true,true
UK - Medical Research Council,,,,,,UK - Medical Research Council,GB-COH-RC000346,10,United Kingdom,,true
Meningitis Research Foundation,,,,,,Meningitis Research Foundation,GB-CHC-1091105,21,United Kingdom,true,true
Stichting Woord en Daad,,,Stichting Woord en Daad,,,Stichting Woord en Daad,NL-KVK-41118168,21,Netherlands,true,true
Lepra,,,,,,Lepra,GB-CHC-213251,21,United Kingdom,true,true
World Economic Forum Geneva,,,,,,World Economic Forum Geneva,CH-FDJP-66004229946,21,Switzerland,,true
Pontis Foundation,,,,,,Pontis Foundation,SK-ZRSR-31784828,60,Slovakia,true,true
